オリエンタルラウンジ,https://www.ozmall.co.jp/restaurant/9233/afternoontea/
銀座肉割烹SORA,https://www.ozmall.co.jp/restaurant/9604/afternoontea/
バー＆レストラン ココノマ,https://www.ozmall.co.jp/restaurant/3275/afternoontea/
和食 清水,https://www.ozmall.co.jp/restaurant/9538/afternoontea/
バー・ラウンジ「THE BAR」／ザ ロイヤルパークホテル アイコニック 東京汐留,https://www.ozmall.co.jp/restaurant/7793/afternoontea/
CHINA SHADOW,https://www.ozmall.co.jp/restaurant/315/afternoontea/
BAGUS QUALIA,https://www.ozmall.co.jp/restaurant/6280/afternoontea/
グリロジー バー＆グリル,https://www.ozmall.co.jp/restaurant/452/afternoontea/
ロビーラウンジ／京王プラザホテル八王子,https://www.ozmall.co.jp/restaurant/7273/afternoontea/
全聚徳　丸ビル店,https://www.ozmall.co.jp/restaurant/8967/afternoontea/
銀座で和食むらき,https://www.ozmall.co.jp/restaurant/1785/afternoontea/
The Lobby Lounge／東京ステーションホテル,https://www.ozmall.co.jp/restaurant/7870/afternoontea/
ブリーズ ヴェール,https://www.ozmall.co.jp/restaurant/66/afternoontea/
レインボーブリッジビュー ダイニング＆シャンパン バー マンハッタン,https://www.ozmall.co.jp/restaurant/306/afternoontea/
BON BONHEUR,https://www.ozmall.co.jp/restaurant/8306/afternoontea/
バー＆ラウンジ　ウィスク,https://www.ozmall.co.jp/restaurant/7482/afternoontea/
なだ万 シャングリ・ラ 東京店,https://www.ozmall.co.jp/restaurant/226/afternoontea/
源氏香,https://www.ozmall.co.jp/restaurant/1842/afternoontea/
CINQ サンク,https://www.ozmall.co.jp/restaurant/8816/afternoontea/
日比谷パレス,https://www.ozmall.co.jp/restaurant/1497/afternoontea/
一寿し,https://www.ozmall.co.jp/restaurant/3083/afternoontea/
Magdalena,https://www.ozmall.co.jp/restaurant/9715/afternoontea/
オーベルジュときと,https://www.ozmall.co.jp/restaurant/9691/afternoontea/
SUD Terrace＆Ba,https://www.ozmall.co.jp/restaurant/7831/afternoontea/
重慶飯店 麻布賓館,https://www.ozmall.co.jp/restaurant/5539/afternoontea/
