word,frequency
ティースタンド,2
レモン,2
ティーバッグ,2
常に,2
旬,2
美味,2
アフタヌーン,2
手作り,2
一部,2
変更,2
モヤ,2
しんどい,2
パリ,2
別に,2
おかわり自由,2
エビ,2
トースト,2
焼売,2
カチカチ,2
グリッシーニ,2
部分,2
決して,2
シーズン,2
準備,2
ネット,2
ハート,2
ハンバーガー,2
かわいらしい,2
上段,2
甘味料,2
忙しい,2
感覚,2
設置,2
君,2
満足度,2
あれ,2
菓子,2
女子,2
GODIVA,2
ベリー,2
ティーカップ,2
ラテアート,2
有名,2
訪問,2
素晴らしい,2
感想,2
だいたい,2
いかが,2
状況,2
苦い,2
その他,2
カリ,2
初め,2
目新しい,2
個人,2
期待値,2
主役,2
ボタン,2
奥,2
伺い,2
椅子,2
お菓子,2
着色料,2
オレンジジュース,2
スピード,2
速い,2
コラボ,2
フェア,2
アレンジ,2
不味い,2
アレルギー,2
桜,2
風味,2
ブッフェ,2
フィナンシェ,2
和栗,2
スパイス,2
ひとつ,2
来店,2
どう,2
事,2
オリジナル,2
システム,2
タピオカドリンク,2
今,2
リサーチ,2
不足,2
着席,2
同時に,2
メッセージ,2
生ぬるい,2
温度,2
カクテル,2
器,2
キレイ,2
ハイビスカス,2
食べ応え,2
サーブ,2
パンケーキ,2
クロテッドクリーム,2
風,2
二,2
とくに,2
ひねり,2
食事メニュー,2
スパークリングワイン,2
そちら,2
ずし,2
シャンパン,2
ピーチ,2
だいぶ,2
たまらない,2
乾杯,2
箱,2
高級感,2
手,2
催促,2
上品,2
チキン,2
サッパリ,2
チリソース,2
ごく,2
選択,2
狭い,2
ベーグル,2
イギリス,2
感動,2
もし,2
笑,2
にくい,2
乏しい,2
タルト生地,2
小学生,2
バレンタイン,2
相応,2
手頃,2
あっという間に,2
寿司屋,2
なのか,2
ぴったり,2
辛い,2
まま,2
半,2
こだわり,2
承知,2
面倒,2
不便,2
無料,2
フレンチトースト,2
豊か,2
ラインナップ,2
様々,2
電話,2
時半,2
客,2
受付,2
外国人,2
初,2
企画,2
みずみずしい,2
所,2
激,2
もち,2
すっかり,2
やや,2
透明,2
ちゃんと,2
スタッフ,2
ジュース,2
不満,2
ディナー,2
力,2
タイプ,2
インスタント,2
お水,2
常温,2
っぱなし,2
予定,2
湯量,2
手ごろ,2
ごと,2
マロン,2
意外と,2
夫,2
家族,2
向け,2
ラウンジ,2
蒸し物,2
二つ,2
それほど,2
考慮,2
友達,2
好きな人,2
焼き菓子,2
手まり,2
野菜,2
若い人,2
カップル,2
自ら,2
開封,2
音楽,2
音符,2
貧弱,1
アイテム,1
極端,1
ホットドリンク,1
内,1
加算,1
量販店,1
購入,1
構成,1
浅い,1
存在感,1
生もの,1
衛生的,1
心配,1
サンドウィッチ,1
素朴,1
しんなり,1
食感,1
強いて,1
ー,1
定員,1
おもてなし,1
堅い,1
カサ,1
平均,1
南口,1
立地,1
価値,1
ジェノベーゼソース,1
チーズ,1
ハニトー,1
あくまで,1
なにか,1
ひとり,1
どなた,1
笑顔,1
ファミレス,1
まし,1
トレイ,1
品質,1
タワー,1
給仕,1
音,1
一斉,1
支払い,1
サイト,1
仕方がない,1
とにかく,1
一言,1
パッ,1
部,1
気味,1
そぐわない,1
立派,1
シャリ,1
素人,1
ゆるい,1
瞬間,1
酸っぱい,1
一切,1
世界観,1
チェシャネコ,1
eatme,1
今後,1
星,1
サラダバー,1
ひとくち,1
体,1
概ね,1
ボンボンショコラ,1
裏側,1
ガナッシュ,1
直,1
手間,1
茶漉,1
扱い,1
いずれ,1
男子,1
学生,1
動き,1
近い,1
驚き,1
赤坂プリンスクラシックハウス,1
バラ,1
先,1
アッサム,1
ロイヤルミルクティー,1
砂時計,1
経過,1
真っ白,1
ホットミルク,1
持ち,1
おそい,1
おおい,1
家,1
クレームブリュレ,1
塩味,1
インスタ映え,1
何より,1
煮込み,1
制覇,1
ビッグサイズ,1
クセ,1
変わり種,1
深み,1
バーカウンター,1
レモン水,1
楽,1
量的,1
空,1
デート,1
数年前,1
再訪,1
色味,1
送風,1
ツヤ,1
原因,1
通し,1
もれ,1
きれい,1
取り分け,1
易い,1
配慮,1
ミルクティー,1
今日,1
表示,1
携帯,1
毎回,1
淋しい,1
パテ,1
バゲット,1
帰宅,1
しかく,1
オシャレ,1
冷凍庫,1
長期,1
保存,1
ラデュレ,1
ビジュアル,1
セルフサービス,1
低め,1
レストラン,1
フリープラン,1
以降,1
記念日,1
がち,1
みずも,1
いま,1
かん,1
週間,1
当日,1
いきなり,1
欠,1
理由,1
値引き,1
補填,1
青,1
エッフェル塔,1
面白み,1
脂っこい,1
春巻,1
エビチリ,1
家庭菜園,1
一口,1
一度,1
いちごジャム,1
ロコモコ,1
分量,1
塩っぱい,1
自然,1
言葉,1
いない,1
とも,1
マッシュルーム,1
塩分,1
ホリデー,1
フロー,1
ゴールド,1
時分,1
待ち,1
リンゴジュース,1
烏龍茶,1
ターン,1
ドリア,1
熱々,1
オプション,1
メロンソーダ,1
茶こし,1
洋菓子,1
型,1
盛りつけ,1
冷凍,1
フルーツジュース,1
合成,1
にこやか,1
座席,1
カス,1
清潔感,1
目的,1
更に,1
満点,1
アイスコーヒー,1
細かい,1
コーヒー豆,1
規格,1
エラー,1
老朽,1
化,1
割高感,1
マクロビ,1
初体験,1
経営,1
小型,1
スイーツパラダイス,1
ウケ,1
違い,1
調理,1
控えめ,1
手軽,1
内装,1
リーフ,1
愛飲,1
ドイツ,1
アルト,1
ハウス,1
嬉,1
作成,1
過程,1
サンタ,1
難点,1
デコレーション,1
剣,1
猫,1
ウェイター,1
あなたに,1
さっさと,1
ちゃん,1
だめ,1
まわり,1
ちり,1
存分,1
塩,1
トリュフ,1
キューブ,1
新しい,1
創作,1
話,1
恐縮,1
妊娠中,1
制限,1
厳しい,1
妊娠,1
禁止,1
側,1
無断,1
半熟卵,1
牛,1
ヒレ,1
せい,1
予め,1
ディスプレイ,1
何分,1
次第,1
ピンポン,1
イライラ,1
期,1
かお,1
日程,1
団体,1
テーブル席,1
ご時世,1
どんどん,1
機械,1
ぱっと,1
パフォーマンス,1
平凡,1
申し訳,1
ウリ,1
リボン,1
クロス,1
すべて,1
色付け,1
自家製,1
ベーコン,1
仕入れ,1
関係,1
マイナス,1
たしかに,1
胸焼け,1
花火,1
ベース,1
何度でも,1
お知らせ,1
快い,1
愛らしい,1
油,1
生地,1
余計,1
パティスリー,1
一式,1
回収,1
奇数,1
オーバー,1
発覚,1
余地,1
食前酒,1
アル,1
カスタム,1
やっぱり,1
さくら,1
ブラマンジェ,1
砂糖水,1
辛口,1
コメント,1
以下,1
三つ,1
ガーデン,1
オブ,1
エデン,1
クラッシック,1
ブラック,1
ようやく,1
ポッド,1
原価,1
不安,1
気持ち,1
破格,1
ブロッサム,1
無難,1
ブラウニー,1
サプライズ,1
仕掛け,1
当たり,1
外れ,1
バースデー,1
ノンアルコール,1
白湯,1
ファースト,1
勿体ない,1
あらかじめ,1
天心,1
バースデーケーキ,1
感謝,1
邪魔,1
ら,1
ピンク色,1
卵,1
ふわふわ,1
マカダミア,1
mightyleaf,1
決め手,1
緑茶,1
鉄瓶,1
カフェインレス,1
涼しい,1
カヤジャム,1
シンガポール,1
比率,1
お餅,1
スポンジ,1
日本橋,1
三杯,1
キャラメル,1
ショコラ,1
愛,1
ハズレ,1
各々,1
余白,1
番上,1
ロゼット,1
飾り,1
汚い,1
ヨモギ,1
あんパン,1
異色,1
可愛,1
いく,1
くどい,1
和風,1
手鞠,1
りんごジュース,1
頼り,1
期待外れ,1
吸い物,1
冬,1
手毬,1
家庭,1
文字,1
紙,1
カード,1
しょぼい,1
追加注文,1
AfternoonTea,1
アボカド,1
黒い,1
斑点,1
時間帯,1
眼,1
せめて,1
水,1
和菓子,1
柏餅,1
名物,1
くい,1
ムネ肉,1
ハーブソルト,1
辛め,1
アフヌン,1
リーフレット,1
選び,1
スイーツセイボリー,1
範囲,1
ブランチ,1
柔らかい,1
瓶,1
生モノ,1
おそらく,1
ハム,1
後悔,1
上手,1
失敗,1
装飾,1
途中,1
昼食,1
抜き,1
バッチリ,1
白桃,1
少量,1
ひと通り,1
組み合わせ,1
バター,1
マーガリン,1
割合,1
トング,1
本場,1
新宿,1
私的,1
らしさ,1
問題,1
酷い,1
適当,1
まったく,1
砂糖,1
お客さん,1
納得,1
経験,1
ガトーショコラ,1
解凍,1
なのかな,1
出来合い,1
すい,1
折角,1
明記,1
視覚,1
ゴディバ,1
つと,1
ティラミス,1
オーストラリア,1
伝統,1
滞在,1
ビル,1
地下,1
容器,1
ピッタリ,1
VIP,1
ルーム,1
個室,1
スマートフォン,1
予想,1
ロールパン,1
かぼちゃサラダ,1
レタス,1
アプリコット,1
直し,1
さすが,1
チョコドリンク,1
細部,1
ノンアルコールカクテル,1
一般,1
若干,1
設定,1
レイアウト,1
まずまず,1
ビュフェ,1
都合,1
桜の花の塩漬け,1
トッピング,1
魚,1
本日,1
足,1
実物,1
何だか,1
バラエティ,1
はずれ,1
唯一,1
限り,1
リニューアル,1
ジノリ,1
重い,1
顔,1
もつ,1
ヴェリーヌ,1
シフォンケーキ,1
フワフワ,1
カラ,1
トリー,1
精一杯,1
ガレット,1
クレープシュゼット,1
苦しい,1
塩気,1
ラスト,1
イラスト,1
位置,1
安心,1
ひどい,1
大丈夫,1
女性,1
係員,1
、,1
枠,1
少なくとも,1
過ぎ,1
多少,1
一点張り,1
ひとこと,1
ここに,1
どこ,1
一流,1
待ち合わせ,1
最悪,1
レス,1
けっこう,1
かた,1
疑問,1
スタンダードプラン,1
モノ,1
基本,1
ペットボトル,1
択,1
入れ替え,1
開始時間,1
終了,1
連絡,1
ミント,1
液体,1
玉,1
テレビ,1
ヌン,1
活,1
うち,1
甘ったるい,1
大事,1
ビーツ,1
サクサク,1
濃いめ,1
銀座,1
グラタン,1
今ひとつ,1
バンズ,1
ハンバーグ,1
把握,1
有料,1
別紙,1
お気に入り,1
駅,1
近,1
割高,1
たまたま,1
賑やか,1
会話,1
騒がしい,1
相応しい,1
ちょこっと,1
お昼,1
丸ごと,1
贅沢,1
白玉,1
クォリティ,1
窓,1
太陽光,1
ワクワク,1
注意,1
プールサイド,1
スパークリング,1
ピンチョス,1
得意,1
ギリギリ,1
間食,1
つまらない,1
カジュアル,1
場合,1
フォトジェニック,1
掛け,1
厨房,1
付近,1
遠い,1
呼び出し,1
ぐらし,1
並々,1
あたり,1
確か,1
下記,1
スマホ,1
スムーズ,1
缶詰,1
みかん,1
海老,1
ビスマルク,1
オムレツ,1
彩り,1
鮮やか,1
オズモール,1
層,1
南瓜,1
ただ,1
少な目,1
目移り,1
程,1
シェア,1
人工甘味料,1
シロップ,1
炭酸水,1
なお,1
プレッツェル,1
古い,1
シンプル,1
適量,1
夕方,1
自宅,1
夕飯,1
ティーポット,1
半量,1
にも,1
なるべく,1
ホール,1
体験,1
妥当,1
スウィーツ,1
コース料理,1
ビール,1
おつまみ,1
キツイ,1
始め,1
意外,1
パターン,1
通常,1
モチーフ,1
随分,1
付属,1
嫌,1
リピート,1
裏,1
そのまま,1
時短,1
きつい,1
先週,1
プリンスホテル,1
デザイン,1
柑橘系,1
後味,1
ほうじ茶,1
スモーク,1
やわらかい,1
バレンタインデー,1
プレゼント,1
コロッケ,1
好評,1
重,1
大人,1
マーブル,1
デザートビュッフェ,1
ヒット,1
ジャスミン,1
花,1
台,1
キャベツの千切り,1
コーン,1
順,1
ダントツ,1
土日,1
ジャスミン茶,1
コロナ,1
セッティング,1
間,1
正方形,1
ヨーグルト,1
カタコト,1
づらい,1
くまちゃん,1
勿体,1
サービス精神,1
旺盛,1
アウェイ,1
十,1
むしろ,1
チョコプレート,1
Francfranc,1
ティーセット,1
重たい,1
メロンパン,1
絵柄,1
アリエル,1
フランダー,1
ニモ,1
ドリー,1
感染症,1
対策,1
数種類,1
エッグベネディクト,1
セレクト,1
ページ,1
画像,1
果物,1
酸味,1
喉,1
変色,1
無花果,1
カリカリ,1
位,1
詳しい,1
紅茶専門店,1
本格,1
ホワイト,1
待ち遠しい,1
ブラインド,1
時季,1
マーマレード,1
相性,1
あんみつ,1
オーガニック,1
グレー,1
らい,1
リフレッシュ,1
程よい,1
オリジナリティ,1
大好き,1
食べ方,1
そのうち,1
しつこい,1
多,1
すぎ,1
食後,1
印象的,1
大正解,1
SNS映え,1
数々,1
嵐,1
方々,1
材料,1
家庭料理,1
惣菜,1
定食,1
ぽんぽん,1
高め,1
マリオット,1
選択肢,1
スッキリ,1
ふんだんに,1
夏,1
温,1
ロイヤル,1
共,1
最高,1
カサカサ,1
カプチーノ,1
ソーダ,1
満席,1
はじ,1
カトラリー,1
やりくり,1
油分,1
ペコペコ,1
料,1
陣,1
苦戦,1
同様,1
ポケモン,1
口直し,1
ピンク,1
ぜひ,1
オニオンリング,1
小ぶり,1
紅茶のティーバッグ,1
いまひとつ,1
高級,1
招待,1
池袋,1
土地柄,1
若い,1
最適,1
カモミール,1
若い人たち,1
年配,1
恥ずかしい,1
ステーキ,1
BOX,1
ずっと,1
ごろ,1
アトリウム,1
また,1
納,1
ボックス,1
おなか,1
行動,1
圏内,1
私達,1
ホットケーキ,1
様,1
都度,1
サーモンマリネ,1
帯,1
AF,1
振り,1
期間限定,1
生姜,1
蜂蜜,1
飴,1
タピオカ,1
クラッカー,1
四,1
意識,1
トランペット,1
旬の食材,1
妨害,1
ヤマハ,1
ホテルメインダイニング,1
ひと,1
繊細,1
口当たり,1
焼き立て,1
関西,1
旅先,1
